trial,hidden_dim,lr,dropout,batch_size,epochs,patience,val_rmse_scaled,duration_sec
2,48,0.0015,0.1,64,40,8,0.48590471610950126,9.025237083435059
13,16,0.002,0.1,32,40,8,0.4861991450848119,9.033594846725464
17,16,0.0003,0.2,32,40,8,0.486238088661089,10.255704879760742
6,96,0.0003,0.1,32,40,8,0.48634076427596484,4.2880330085754395
3,96,0.001,0.2,32,40,8,0.4864348014970881,4.422441005706787
11,96,0.0003,0.3,32,40,8,0.4864912651845846,5.7763659954071045
20,48,0.002,0.1,64,40,8,0.4865164579781353,4.853708744049072
18,16,0.0015,0.2,32,40,8,0.48658334477315124,4.837470293045044
12,16,0.0003,0.3,32,40,8,0.48671757030497176,15.177231073379517
1,48,0.0005,0.3,32,40,8,0.4867441401127674,6.73531174659729
21,32,0.0005,0.1,64,40,8,0.4867901013459715,5.57793927192688
23,96,0.0005,0.1,32,40,8,0.48687974332217704,4.581283092498779
5,96,0.0003,0.2,64,40,8,0.4869197280499092,3.2270898818969727
7,48,0.0015,0.2,64,40,8,0.4870154047723821,2.124574899673462
10,32,0.0003,0.2,64,40,8,0.4870530298556446,6.538018226623535
19,96,0.0003,0.3,64,40,8,0.48711315511477216,3.078735113143921
14,64,0.0015,0.2,64,40,8,0.4871522072419916,2.658708095550537
9,96,0.0005,0.3,32,40,8,0.4871707414915905,5.221904754638672
22,96,0.0015,0.3,64,40,8,0.48725753586638665,3.738241195678711
8,64,0.001,0.2,64,40,8,0.48736400205037345,2.21105694770813
24,64,0.0003,0.1,64,40,8,0.48741625806284045,3.1830408573150635
4,16,0.0003,0.2,64,40,8,0.4875252280065403,10.576324701309204
16,16,0.002,0.1,64,40,8,0.4876655450367148,3.831874132156372
15,96,0.0005,0.2,64,40,8,0.48768151798072507,2.5169107913970947
