feature,importance_val
MedicalCare_YoY_lag1,0.010346999
Apparel_MoM,0.0036302386
Headline_MoM,0.001880587
Apparel_YoY,0.0012827858
Headline_YoY,0.00097051397
Shelter_MoM_lag2,0.0009279585
Core_MoM,0.0008339732
Energy_MoM,0.000502466
Shelter_YoY,0.0004495826
Headline_YoY_lag1,0.00044693815
Food_MoM_lag3,0.00020602733
Core_YoY,0.00016406909
Food_MoM_lag1,0.00010205207
Food_MoM_lag2,6.82872e-05
Food_YoY,3.9773488e-05
Food_MoM,1.1803466e-05
Transportation_MoM_lag1,0.0
Transportation_YoY_lag2,0.0
Transportation_YoY_lag1,0.0
Transportation_MoM_lag3,0.0
Transportation_MoM_lag2,0.0
MedicalCare_YoY,0.0
Apparel_MoM_lag1,0.0
MedicalCare_YoY_lag3,0.0
MedicalCare_YoY_lag2,0.0
MedicalCare_MoM_lag3,0.0
MedicalCare_MoM_lag2,0.0
MedicalCare_MoM_lag1,0.0
Transportation_YoY_lag3,0.0
Apparel_MoM_lag2,0.0
Energy_YoY_lag2,0.0
Durables_YoY_lag2,0.0
Services_YoY_lag2,0.0
Services_YoY_lag1,0.0
Services_MoM_lag3,0.0
Services_MoM_lag2,0.0
Services_MoM_lag1,0.0
Durables_YoY_lag3,0.0
Durables_YoY_lag1,0.0
Apparel_MoM_lag3,0.0
Durables_MoM_lag3,0.0
Durables_MoM_lag2,0.0
Durables_MoM_lag1,0.0
Apparel_YoY_lag3,0.0
Apparel_YoY_lag2,0.0
Apparel_YoY_lag1,0.0
Energy_YoY_lag3,0.0
Energy_MoM_lag2,0.0
Energy_YoY_lag1,0.0
Energy_MoM_lag3,0.0
Transportation_YoY,0.0
MedicalCare_MoM,0.0
Energy_YoY,0.0
Durables_MoM,0.0
Durables_YoY,0.0
Services_MoM,0.0
Services_YoY,0.0
Headline_MoM_lag1,0.0
Headline_MoM_lag2,0.0
Headline_MoM_lag3,0.0
Headline_YoY_lag2,0.0
Headline_YoY_lag3,0.0
Core_MoM_lag1,0.0
Core_MoM_lag2,0.0
Core_MoM_lag3,0.0
Core_YoY_lag1,0.0
Core_YoY_lag2,0.0
Core_YoY_lag3,0.0
Shelter_MoM_lag1,0.0
Shelter_MoM_lag3,0.0
Shelter_YoY_lag1,0.0
Shelter_YoY_lag2,0.0
Shelter_YoY_lag3,0.0
Shelter_MoM,0.0
Food_YoY_lag1,0.0
Food_YoY_lag2,0.0
Food_YoY_lag3,0.0
Energy_MoM_lag1,0.0
Transportation_MoM,0.0
Services_YoY_lag3,0.0
