Variable,Period,Correlation w/ FX_MoM
Exports_MoM,Normal,-0.058123033248830815
Exports_MoM,Abnormal,-0.16753136315050257
Exports_YoY,Normal,0.027422872837348622
Exports_YoY,Abnormal,0.09497380223696998
Imports_MoM,Normal,-0.054905811362864404
Imports_MoM,Abnormal,-0.21483273662202035
Imports_YoY,Normal,0.050968648332735705
Imports_YoY,Abnormal,0.20445709240234514
Trade_Balance_MoM,Normal,-0.03320746628929822
Trade_Balance_MoM,Abnormal,-0.22293936009620957
Trade_Balance_YoY,Normal,-0.07648147690549062
Trade_Balance_YoY,Abnormal,-0.27281304784013866
Current_Account_MoM,Normal,0.09440617385362887
Current_Account_MoM,Abnormal,-0.08769900752349699
Current_Account_YoY,Normal,0.022737904690604483
Current_Account_YoY,Abnormal,-0.15121518050251442
CPI_KOR_MoM,Normal,0.07336476417156645
CPI_KOR_MoM,Abnormal,-0.016166980318090482
CPI_KOR_YoY,Normal,0.016753126505806685
CPI_KOR_YoY,Abnormal,0.24590696476165044
Import_Price_Index_MoM,Normal,0.2444658073844599
Import_Price_Index_MoM,Abnormal,0.22660590978163123
Import_Price_Index_YoY,Normal,0.09591404464378997
Import_Price_Index_YoY,Abnormal,0.3751420002134308
Industrial_Production_MoM,Normal,0.05912180781650002
Industrial_Production_MoM,Abnormal,0.018724978320101417
Industrial_Production_YoY,Normal,0.05617396403735614
Industrial_Production_YoY,Abnormal,0.05794966113358223
Unemployment_KOR_MoM,Normal,-0.09949312332848406
Unemployment_KOR_MoM,Abnormal,0.10209839664526123
Unemployment_KOR_YoY,Normal,-0.07523827043801598
Unemployment_KOR_YoY,Abnormal,-0.18373226202674653
M2_MoM,Normal,0.5662552917844256
M2_YoY,Normal,-0.29823618586583683
MMF_MoM,Normal,0.24675971703906865
MMF_YoY,Normal,0.17012628248874467
Demand_Deposits_MoM,Normal,-0.09109618566272334
Demand_Deposits_YoY,Normal,0.37994245459889303
Policy_Rate_KOR_MoM,Normal,0.024997194858512838
Policy_Rate_KOR_MoM,Abnormal,-0.04626224863321875
Policy_Rate_KOR_YoY,Normal,0.016894344235186966
Policy_Rate_KOR_YoY,Abnormal,0.24380387396578387
Policy_Rate_USA_MoM,Normal,-0.03695328302863362
Policy_Rate_USA_MoM,Abnormal,-0.1906162012558498
Policy_Rate_USA_YoY,Normal,-0.03161484850434428
Policy_Rate_USA_YoY,Abnormal,-0.1363812449033745
DXY_MoM,Normal,0.6693497300792239
DXY_MoM,Abnormal,0.6479503731317566
DXY_YoY,Normal,0.20647925570523476
DXY_YoY,Abnormal,0.12018886528110762
VIX_MoM,Normal,0.33501431219000016
VIX_MoM,Abnormal,0.35715072260897074
VIX_YoY,Normal,0.24721697125073433
VIX_YoY,Abnormal,0.13692430604839848
WTI_Oil_MoM,Normal,-0.2450362745302505
WTI_Oil_MoM,Abnormal,-0.02517215113403677
WTI_Oil_YoY,Normal,-0.09009607169974503
WTI_Oil_YoY,Abnormal,0.09598479619207195
Rate_Spread_KOR_USA_MoM,Normal,0.0532441674967059
Rate_Spread_KOR_USA_MoM,Abnormal,0.14057769019003255
Rate_Spread_KOR_USA_YoY,Normal,0.05430516724672528
Rate_Spread_KOR_USA_YoY,Abnormal,0.30204111511311754
